,Title,Publication_Info,Cited_by
265,Genetic algorithm and machine learning,"RR Chandan, S Soni, A Raj, V Veeraiah… - … , Policies, and Reform, 2023 - igi-global.com",Cited by 28
266,Perspective: Machine learning in experimental solid mechanics,"NR Brodnik, C Muir, N Tulshibagwale, J Rossin… - Journal of the …, 2023 - Elsevier",Cited by 36
267,Machine learning operations: A survey on MLOps tool support,"N Hewage, D Meedeniya - arXiv preprint arXiv:2202.10169, 2022 - arxiv.org",Cited by 41
268,Catalyst design with machine learning,"H Xin - Nature Energy, 2022 - nature.com",Cited by 21
269,Secure and Private AI: Implementing Advanced Data Protection Techniques in Machine Learning Models,"AKY Yanamala - International Journal of Machine Learning Research …, 2023 - ijmlrcai.com",Cited by 73
270,Human–machine teaming is key to AI adoption: clinicians' experiences with a deployed machine learning system,"KE Henry, R Kornfield, A Sridharan, RC Linton… - NPJ digital …, 2022 - nature.com",Cited by 102
271,Physics-informed machine learning for reliability and systems safety applications: State of the art and challenges,"Y Xu, S Kohtz, J Boakye, P Gardoni, P Wang - Reliability Engineering & …, 2023 - Elsevier",Cited by 155
272,Exploring QCD matter in extreme conditions with Machine Learning,"K Zhou, L Wang, LG Pang, S Shi - Progress in Particle and Nuclear Physics, 2023 - Elsevier",Cited by 41
273,Machine learning software for optimizing SME social media marketing campaigns,"WE Kedi, C Ejimuda, C Idemudia… - Computer Science & IT …, 2024 - researchgate.net",Cited by 28
274,Learning Curves for Decision Making in Supervised Machine Learning--A Survey,"F Mohr, JN van Rijn - arXiv preprint arXiv:2201.12150, 2022 - arxiv.org",Cited by 63
275,Machine learning and deep learning in energy systems: A review,"MM Forootan, I Larki, R Zahedi, A Ahmadi - Sustainability, 2022 - mdpi.com",Cited by 142
276,Interpretable machine learning for building energy management: A state-of-the-art review,"Z Chen, F Xiao, F Guo, J Yan - Advances in Applied Energy, 2023 - Elsevier",Cited by 136
277,The vendi score: A diversity evaluation metric for machine learning,"D Dan Friedman, AB Dieng - Transactions on machine learning …, 2023 - par.nsf.gov",Cited by 52
278,Adaptive optics based on machine learning: a review,"Y Guo, L Zhong, L Min, J Wang, Y Wu… - Opto-Electronic …, 2022 - researching.cn",Cited by 104
279,MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz… - BMC Medical Informatics …, 2023 - Springer",Cited by 179
280,Application of machine learning optimization in cloud computing resource scheduling and management,"Y Zhang, B Liu, Y Gong, J Huang, J Xu… - Proceedings of the 5th …, 2024 - dl.acm.org",Cited by 56
281,A comprehensive survey on feature selection in the various fields of machine learning,"P Dhal, C Azad - Applied Intelligence, 2022 - Springer",Cited by 288
282,"A mini-review of machine learning in big data analytics: Applications, challenges, and prospects","IK Nti, JA Quarcoo, J Aning… - Big Data Mining and …, 2022 - ieeexplore.ieee.org",Cited by 105
283,Quantum machine learning beyond kernel methods,"S Jerbi, LJ Fiderer, H Poulsen Nautrup… - Nature …, 2023 - nature.com",Cited by 149
284,"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior","E Yaghoubi, E Yaghoubi, A Khamees, D Razmi… - … Applications of Artificial …, 2024 - Elsevier",Cited by 8
285,Using Machine Learning and Data Mining to Evaluate Modern Financial Management Techniques,"A Al Ayub Ahmed, S Rajesh, S Lohana, S Ray… - Proceedings of Second …, 2022 - Springer",Cited by 72
286,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri… - Materials Today …, 2023 - Elsevier",Cited by 23
287,Crop yield prediction using machine learning techniques,"S Iniyan, VA Varma, CT Naidu - Advances in Engineering Software, 2023 - Elsevier",Cited by 63
288,Forecasting renewable energy generation with machine learning and deep learning: Current advances and future prospects,"NE Benti, MD Chaka, AG Semie - Sustainability, 2023 - mdpi.com",Cited by 66
289,Big Data: the Fuel for Machine Learning and AI Advancement,"F Tahir, M Khan - 2023 - easychair.org",Cited by 130
290,Sustainable energies and machine learning: An organized review of recent applications and challenges,"P Ifaei, M Nazari-Heris, AST Charmchi, S Asadi… - Energy, 2023 - Elsevier",Cited by 44
291,Mitigating bias in radiology machine learning: 1. Data handling,"P Rouzrokh, B Khosravi, S Faghani… - Radiology: Artificial …, 2022 - pubs.rsna.org",Cited by 83
292,The role of natural resources in the management of environmental sustainability: Machine learning approach,"A Rao, A Talan, S Abbas, D Dev, F Taghizadeh-Hesary - Resources Policy, 2023 - Elsevier",Cited by 39
293,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,"FK Alarfaj, I Malik, HU Khan, N Almusallam… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 178
294,Random matrix methods for machine learning,"R Couillet, Z Liao - 2022 - books.google.com",Cited by 70
295,"Forecasting of crop yield using remote sensing data, agrarian factors and machine learning approaches","JP Bharadiya, NT Tzenios… - Journal of Engineering …, 2023 - classical.goforpromo.com",Cited by 197
296,Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,"M Karimi-Mamaghan, M Mohammadi, P Meyer… - European Journal of …, 2022 - Elsevier",Cited by 307
297,Metalearning: applications to automated machine learning and data mining,"P Brazdil, JN Van Rijn, C Soares, J Vanschoren - 2022 - library.oapen.org",Cited by 65
298,Machine learning for chemical reactivity: the importance of failed experiments,"F Strieth‐Kalthoff, F Sandfort… - Angewandte Chemie …, 2022 - Wiley Online Library",Cited by 106
299,Perspectives in machine learning for wildlife conservation,"D Tuia, B Kellenberger, S Beery, BR Costelloe… - Nature …, 2022 - nature.com",Cited by 410
300,Sepsis biomarkers and diagnostic tools with a focus on machine learning,"M Komorowski, A Green, KC Tatham, C Seymour… - …, 2022 - thelancet.com",Cited by 60
301,Machine learning and remote sensing techniques applied to estimate soil indicators–review,"FA Diaz-Gonzalez, J Vuelvas, CA Correa, VE Vallejo… - Ecological …, 2022 - Elsevier",Cited by 107
302,Network-based machine learning approach to predict immunotherapy response in cancer patients,"JH Kong, D Ha, J Lee, I Kim, M Park, SH Im… - Nature …, 2022 - nature.com",Cited by 102
303,The effects of data quality on machine learning performance,"L Budach, M Feuerpfeil, N Ihde, A Nathansen… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 115
304,SEM-machine learning-based model for perusing the adoption of metaverse in higher education in UAE,"A Aburayya, S Salloum, K Alderbashi… - … Journal of Data and …, 2023 - growingscience.com",Cited by 93
305,Machine learning in nuclear physics at low and intermediate energies,"W He, Q Li, Y Ma, Z Niu, J Pei, Y Zhang - Science China Physics …, 2023 - Springer",Cited by 60
306,Machine learning as a tool for hypothesis generation,"J Ludwig, S Mullainathan - The Quarterly Journal of Economics, 2024 - academic.oup.com",Cited by 46
307,"Review on machine learning-based bioprocess optimization, monitoring, and control systems","PP Mondal, A Galodha, VK Verma, V Singh… - Bioresource …, 2023 - Elsevier",Cited by 60
308,Recent advancement in cancer diagnosis using machine learning and deep learning techniques: A comprehensive review,"D Painuli, S Bhardwaj - Computers in Biology and Medicine, 2022 - Elsevier",Cited by 94
309,Machine learning–assisted design of material properties,"S Kadulkar, ZM Sherman, V Ganesan… - Annual Review of …, 2022 - annualreviews.org",Cited by 32
310,"Machine learning applications in river research: Trends, opportunities and challenges","L Ho, P Goethals - Methods in Ecology and Evolution, 2022 - Wiley Online Library",Cited by 22
311,Application of machine learning in determining the mechanical properties of materials,"N Jain, A Verma, S Ogata, MR Sanjay… - Machine learning applied …, 2022 - Springer",Cited by 24
312,"Why black box machine learning should be avoided for high-stakes decisions, in brief","C Rudin - Nature Reviews Methods Primers, 2022 - nature.com",Cited by 49
313,Toward an integrated machine learning model of a proteomics experiment,"BA Neely, V Dorfer, L Martens, I Bludau… - Journal of proteome …, 2023 - ACS Publications",Cited by 29
314,NetKet 3: Machine learning toolbox for many-body quantum systems,"F Vicentini, D Hofmann, A Szabó, D Wu… - SciPost Physics …, 2022 - scipost.org",Cited by 101
315,Multimodal machine learning in precision health: A scoping review,"A Kline, H Wang, Y Li, S Dennis, M Hutch, Z Xu… - npj Digital …, 2022 - nature.com",Cited by 157
316,Quantum machine learning: A tutorial,"JD Martín-Guerrero, L Lamata - Neurocomputing, 2022 - Elsevier",Cited by 65
317,From distributed machine learning to federated learning: A survey,"J Liu, J Huang, Y Zhou, X Li, S Ji, H Xiong… - … and Information Systems, 2022 - Springer",Cited by 235
318,Human–robot collaboration and machine learning: A systematic review of recent research,"F Semeraro, A Griffiths, A Cangelosi - Robotics and Computer-Integrated …, 2023 - Elsevier",Cited by 158
319,Customer churn prediction system: a machine learning approach,"P Lalwani, MK Mishra, JS Chadha, P Sethi - Computing, 2022 - Springer",Cited by 265
320,Machine learning for healthcare wearable devices: the big picture,"F Sabry, T Eltaras, W Labda, K Alzoubi… - Journal of Healthcare …, 2022 - Wiley Online Library",Cited by 167
321,Using machine learning to predict complications in pregnancy: a systematic review,"A Bertini, R Salas, S Chabert, L Sobrevia… - … in bioengineering and …, 2022 - frontiersin.org",Cited by 73
322,Quantum machine learning for chemistry and physics,"M Sajjan, J Li, R Selvarajan, SH Sureshbabu… - Chemical Society …, 2022 - pubs.rsc.org",Cited by 91
323,Robust and data-efficient generalization of self-supervised machine learning for diagnostic imaging,"S Azizi, L Culp, J Freyberg, B Mustafa, S Baur… - Nature Biomedical …, 2023 - nature.com",Cited by 114
324,Machine learning algorithms for efficient water quality prediction,"M Azrour, J Mabrouki, G Fattah, A Guezzaz… - Modeling Earth Systems …, 2022 - Springer",Cited by 114
325,Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde… - Materials Today …, 2023 - Elsevier",Cited by 134
326,Air pollution prediction with machine learning: a case study of Indian cities,"K Kumar, BP Pande - International Journal of Environmental Science and …, 2023 - Springer",Cited by 147
327,Machine learning and application in terahertz technology: A review on achievements and future challenges,"Y Jiang, G Li, H Ge, F Wang, L Li, X Chen, M Lu… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 44
328,A review of machine learning in geochemistry and cosmochemistry: Method improvements and applications,"Y He, Y Zhou, T Wen, S Zhang, F Huang, X Zou… - Applied …, 2022 - Elsevier",Cited by 39
329,Application of machine learning in water resources management: A systematic literature review,"F Ghobadi, D Kang - Water, 2023 - mdpi.com",Cited by 54
330,Machine learning on small size samples: A synthetic knowledge synthesis,"P Kokol, M Kokol, S Zagoranski - Science Progress, 2022 - journals.sagepub.com",Cited by 146
331,Cellular traffic prediction with machine learning: A survey,"W Jiang - Expert Systems with Applications, 2022 - Elsevier",Cited by 96
332,Adaptive machine learning for protein engineering,"BL Hie, KK Yang - Current opinion in structural biology, 2022 - Elsevier",Cited by 85
333,Part of speech tagging: a systematic review of deep learning and machine learning approaches,"A Chiche, B Yitagesu - Journal of Big Data, 2022 - Springer",Cited by 187
334,Group-invariant quantum machine learning,"M Larocca, F Sauvage, FM Sbahi, G Verdon, PJ Coles… - PRX Quantum, 2022 - APS",Cited by 135
335,Knowledge graphs as tools for explainable machine learning: A survey,"I Tiddi, S Schlobach - Artificial Intelligence, 2022 - Elsevier",Cited by 217
336,Will we run out of data? an analysis of the limits of scaling datasets in machine learning,"P Villalobos, J Sevilla, L Heim, T Besiroglu… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 142
337,Plant leaf disease detection using computer vision and machine learning algorithms,"SS Harakannanavar, JM Rudagi… - Global Transitions …, 2022 - Elsevier",Cited by 253
338,A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques,"R Krishnamoorthi, S Joshi… - Journal of healthcare …, 2022 - Wiley Online Library",Cited by 204
339,"Forecasting stock market prices using machine learning and deep learning models: A systematic review, performance analysis and discussion of implications","G Sonkavde, DS Dharrao, AM Bongale… - International Journal of …, 2023 - mdpi.com",Cited by 67
340,Machine learning-based heart disease diagnosis: A systematic literature review,"MM Ahsan, Z Siddique - Artificial Intelligence in Medicine, 2022 - Elsevier",Cited by 254
341,Machine learning advances in microbiology: A review of methods and applications,"Y Jiang, J Luo, D Huang, Y Liu, D Li - Frontiers in Microbiology, 2022 - frontiersin.org",Cited by 36
342,Toward a sociology of machine learning explainability: Human–machine interaction in deep neural network-based automated trading,"C Borch, B Hee Min - Big Data & Society, 2022 - journals.sagepub.com",Cited by 43
343,Recent advances and applications of machine learning in experimental solid mechanics: A review,"H Jin, E Zhang, HD Espinosa - Applied …, 2023 - asmedigitalcollection.asme.org",Cited by 52
344,Exposing the limitations of molecular machine learning with activity cliffs,"D Van Tilborg, A Alenicheva… - Journal of chemical …, 2022 - ACS Publications",Cited by 122
345,A comparative study of different machine learning methods for reservoir landslide displacement prediction,"Y Wang, H Tang, J Huang, T Wen, J Ma, J Zhang - Engineering Geology, 2022 - Elsevier",Cited by 115
346,Recent advances and outstanding challenges for machine learning interatomic potentials,"TW Ko, SP Ong - Nature Computational Science, 2023 - nature.com",Cited by 30
347,Potential applications and performance of machine learning techniques and algorithms in clinical practice: a systematic review,"EM Nwanosike, BR Conway, HA Merchant… - International journal of …, 2022 - Elsevier",Cited by 66
348,"CheckM2: a rapid, scalable and accurate tool for assessing microbial genome quality using machine learning","A Chklovski, DH Parks, BJ Woodcroft, GW Tyson - Nature Methods, 2023 - nature.com",Cited by 264
349,Maximizing information from chemical engineering data sets: Applications to machine learning,"A Thebelt, J Wiebe, J Kronqvist, C Tsay… - Chemical Engineering …, 2022 - Elsevier",Cited by 60
350,Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim - Neurocomputing, 2023 - Elsevier",Cited by 58
351,Exploring machine learning: a scientometrics approach using bibliometrix and VOSviewer,"DO Oyewola, EG Dada - SN Applied Sciences, 2022 - Springer",Cited by 105
352,Detecting suicidality on social media: Machine learning at rescue,"ST Rabani, AMUD Khanday, QR Khan… - Egyptian Informatics …, 2023 - Elsevier",Cited by 18
353,Is quantum advantage the right goal for quantum machine learning?,"M Schuld, N Killoran - Prx Quantum, 2022 - APS",Cited by 156
354,Truth serum: Poisoning machine learning models to reveal their secrets,"F Tramèr, R Shokri, A San Joaquin, H Le… - Proceedings of the …, 2022 - dl.acm.org",Cited by 105
355,Operationalizing machine learning: An interview study,"S Shankar, R Garcia, JM Hellerstein… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 58
356,Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"M Amini, K Sharifani, A Rahmani - International Journal of Applied …, 2023 - papers.ssrn.com",Cited by 124
357,Artificial Intelligence and Machine Learning: The Impact of Machine Learning on Predictive Analytics in Healthcare,"H Rehan - Innovative Computer Sciences Journal, 2023 - researchgate.net",Cited by 46
358,Machine learning integrated design for additive manufacturing,"J Jiang, Y Xiong, Z Zhang, DW Rosen - Journal of Intelligent …, 2022 - Springer",Cited by 195
359,Bias mitigation for machine learning classifiers: A comprehensive survey,"M Hort, Z Chen, JM Zhang, M Harman… - ACM Journal on …, 2024 - dl.acm.org",Cited by 107
360,Diabetes Risk Assessment Using Machine Learning: A Comparative Study of Classification Algorithms,"CK Suryadevara - IEJRD-International Multidisciplinary Journal, 2023 - researchgate.net",Cited by 33
361,Internet of Thing and Machine Learning Approach for Agricultural Application: A Review,"P Kolhe, K Kalbande… - 2022 10th International …, 2022 - ieeexplore.ieee.org",Cited by 39
362,Rainfall prediction: A comparative analysis of modern machine learning algorithms for time-series forecasting,"AY Barrera-Animas, LO Oyedele, M Bilal… - Machine Learning with …, 2022 - Elsevier",Cited by 204
363,Empirical method for thyroid disease classification using a machine learning approach,"T Alyas, M Hamid, K Alissa, T Faiz… - BioMed Research …, 2022 - ncbi.nlm.nih.gov",Cited by 73
364,Fetal health classification from cardiotocographic data using machine learning,"A Mehbodniya, AJP Lazar, J Webber… - Expert …, 2022 - Wiley Online Library",Cited by 76
365,Applications of machine learning and deep learning on biological data,"F Masoodi, M Quasim, S Bukhari, S Dixit, S Alam - 2023 - books.google.com",Cited by 27
366,Machine learning in microseismic monitoring,"D Anikiev, C Birnie, U bin Waheed, T Alkhalifah… - Earth-Science …, 2023 - Elsevier",Cited by 44
367,Quantum Machine Learning: Scope for real-world problems,"A Jadhav, A Rasool, M Gyanchandani - Procedia Computer Science, 2023 - Elsevier",Cited by 34
368,Identifying disease and diagnosis in females using machine learning,"S Pramanik, SK Bandyopadhyay - … Science and Machine Learning, 2023 - igi-global.com",Cited by 33
369,Machine learning in fundamental electrochemistry: Recent advances and future opportunities,"H Chen, E Kätelhön, RG Compton - Current Opinion in Electrochemistry, 2023 - Elsevier",Cited by 29
370,The role of machine learning in transforming business intelligence,"JP Bharadiya - International Journal of Computing …, 2023 - computersciencejournals.com",Cited by 55
371,Statistical and machine learning methods for spatially resolved transcriptomics data analysis,"Z Zeng, Y Li, Y Li, Y Luo - Genome biology, 2022 - Springer",Cited by 116
372,Machine learning for intelligent energy consumption in smart homes,"A Alzoubi - International Journal of Computations, Information …, 2022 - journals.gaftim.com",Cited by 182
373,Signature methods in machine learning,"T Lyons, AD McLeod - arXiv preprint arXiv:2206.14674, 2022 - arxiv.org",Cited by 38
374,ktrain: A low-code library for augmented machine learning,"AS Maiya - Journal of Machine Learning Research, 2022 - jmlr.org",Cited by 168
375,Incorporating sparse model machine learning in designing cultural heritage landscapes,"P Goodarzi, M Ansari, FP Rahimian… - Automation in …, 2023 - Elsevier",Cited by 16
376,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions","M Aliramezani, CR Koch, M Shahbakhti - Progress in Energy and …, 2022 - Elsevier",Cited by 179
377,High school students exploring machine learning and its societal implications: Opportunities and challenges,"MH Kaspersen, KEK Bilstrup, M Van Mechelen… - International Journal of …, 2022 - Elsevier",Cited by 27
378,Recent advances in machine learning for fiber optic sensor applications,"A Venketeswaran, N Lalam… - Advanced Intelligent …, 2022 - Wiley Online Library",Cited by 147
379,Estimating the thermal conductivity of soils using six machine learning algorithms,"KQ Li, Y Liu, Q Kang - International Communications in Heat and Mass …, 2022 - Elsevier",Cited by 69
380,Machine learning-based methods in structural reliability analysis: A review,"SS Afshari, F Enayatollahi, X Xu, X Liang - Reliability Engineering & System …, 2022 - Elsevier",Cited by 221
381,Machine learning algorithms to forecast air quality: a survey,"M Méndez, MG Merayo, M Núñez - Artificial Intelligence Review, 2023 - Springer",Cited by 121
382,Smart farming using machine learning and deep learning techniques,"SKS Durai, MD Shamili - Decision Analytics Journal, 2022 - Elsevier",Cited by 122
383,Machine learning algorithms for monitoring pavement performance,"S Cano-Ortiz, P Pascual-Muñoz… - Automation in …, 2022 - Elsevier",Cited by 62
384,The state of art on the prediction of efficiency and modeling of the processes of pollutants removal based on machine learning,"N Taoufik, W Boumya, M Achak, H Chennouk… - Science of the Total …, 2022 - Elsevier",Cited by 90
385,Towards the next generation of machine learning models in additive manufacturing: A review of process dependent material evolution,"M Parsazadeh, S Sharma, N Dahotre - Progress in Materials Science, 2023 - Elsevier",Cited by 48
386,Predicting preeminent Machine Learning Approach on Stars,"S Manna, V Jalodia, K Kumar, V Tripathi… - 2022 2nd …, 2022 - ieeexplore.ieee.org",Cited by 39
387,A comprehensive review of machine learning algorithms and their application in geriatric medicine: present and future,"RJ Woodman, AA Mangoni - Aging Clinical and Experimental Research, 2023 - Springer",Cited by 38
388,Opening the black box: the promise and limitations of explainable machine learning in cardiology,"J Petch, S Di, W Nelson - Canadian Journal of Cardiology, 2022 - Elsevier",Cited by 353
389,Machine learning in cybersecurity: a comprehensive survey,"D Dasgupta, Z Akhtar, S Sen - The Journal of Defense …, 2022 - journals.sagepub.com",Cited by 215
390,Bias in machine learning models can be significantly mitigated by careful training: Evidence from neuroimaging studies,"R Wang, P Chaudhari… - Proceedings of the …, 2023 - National Acad Sciences",Cited by 64
391,Machine learning and AI technologies for smart wearables,"KP Seng, LM Ang, E Peter, A Mmonyi - Electronics, 2023 - mdpi.com",Cited by 27
392,"Transforming clinical virology with AI, machine learning and deep learning: a comprehensive review and outlook","A Padhi, A Agarwal, SK Saxena, CDS Katoch - VirusDisease, 2023 - Springer",Cited by 22
393,Machine learning predicts and optimizes hydrothermal liquefaction of biomass,"A Shafizadeh, H Shahbeig, MH Nadian, H Mobli… - Chemical Engineering …, 2022 - Elsevier",Cited by 103
394,Precision irrigation management using machine learning and digital farming solutions,"EA Abioye, O Hensel, TJ Esau, O Elijah, MSZ Abidin… - AgriEngineering, 2022 - mdpi.com",Cited by 161
395,A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"A Rawson, M Brito - Transport Reviews, 2023 - Taylor & Francis",Cited by 70
396,An optimized framework for breast cancer classification using machine learning,"E Michael, H Ma, H Li, S Qi - BioMed Research International, 2022 - Wiley Online Library",Cited by 60
397,A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad… - Mobile Information …, 2022 - Wiley Online Library",Cited by 105
398,"Advances in computational intelligence of polymer composite materials: machine learning assisted modeling, analysis and design","A Sharma, T Mukhopadhyay, SM Rangappa… - … Methods in Engineering, 2022 - Springer",Cited by 141
399,"The classification method study of crops remote sensing with deep learning, machine learning, and Google Earth engine","J Yao, J Wu, C Xiao, Z Zhang, J Li - Remote Sensing, 2022 - mdpi.com",Cited by 49
400,Molecular representations for machine learning applications in chemistry,"S Raghunathan, UD Priyakumar - International Journal of …, 2022 - Wiley Online Library",Cited by 54
401,Machine learning in the analysis of biomolecular simulations,"S Kaptan, I Vattulainen - Advances in physics: X, 2022 - Taylor & Francis",Cited by 23
402,The applications of machine learning techniques in medical data processing based on distributed computing and the Internet of Things,"S Aminizadeh, A Heidari, S Toumaj, M Darbandi… - Computer methods and …, 2023 - Elsevier",Cited by 120
403,Technology readiness levels for machine learning systems,"A Lavin, CM Gilligan-Lee, A Visnjic, S Ganju… - Nature …, 2022 - nature.com",Cited by 111
404,Advances in application of machine learning to life cycle assessment: a literature review,"A Ghoroghi, Y Rezgui, I Petri, T Beach - The International Journal of Life …, 2022 - Springer",Cited by 74
405,Secure preschool education using machine learning and metaverse technologies,"Q Zhang - Applied Artificial Intelligence, 2023 - Taylor & Francis",Cited by 29
406,Evaluating pointwise reliability of machine learning prediction,"G Nicora, M Rios, A Abu-Hanna, R Bellazzi - Journal of Biomedical …, 2022 - Elsevier",Cited by 64
407,Machine learning in bioprocess development: from promise to practice,"LM Helleckes, J Hemmerich, W Wiechert… - Trends in …, 2023 - cell.com",Cited by 52
408,Mathematical and machine learning models for groundwater level changes: a systematic review and bibliographic analysis,"S Afrifa, T Zhang, P Appiahene, V Varadarajan - Future Internet, 2022 - mdpi.com",Cited by 46
409,Translating promise into practice: a review of machine learning in suicide research and prevention,"OJ Kirtley, K van Mens, M Hoogendoorn… - The Lancet …, 2022 - thelancet.com",Cited by 45
410,Machine learning in sports science: challenges and opportunities,"C Richter, M O'Reilly, E Delahunt - Sports Biomechanics, 2024 - Taylor & Francis",Cited by 52
411,Trends in vision-based machine learning techniques for plant disease identification: A systematic review,"PS Thakur, P Khanna, T Sheorey, A Ojha - Expert Systems with …, 2022 - Elsevier",Cited by 120
412,"Application of deep learning and machine learning models to improve healthcare in sub-Saharan Africa: Emerging opportunities, trends and implications","E Mbunge, J Batani - Telematics and Informatics Reports, 2023 - Elsevier",Cited by 27
413,Machine learning for predicting battery capacity for electric vehicles,"J Zhao, H Ling, J Liu, J Wang, AF Burke, Y Lian - ETransportation, 2023 - Elsevier",Cited by 77
414,A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,"D Das, SK Biswas, S Bandyopadhyay - Multimedia Tools and Applications, 2022 - Springer",Cited by 91
415,Lung cancer risk prediction with machine learning models,"E Dritsas, M Trigka - Big Data and Cognitive Computing, 2022 - mdpi.com",Cited by 86
416,Machine Learning for Modeling and Control of Industrial Clarifier Process.,"M Rajalakshmi, V Saravanan… - … Automation & Soft …, 2022 - researchgate.net",Cited by 95
417,Enhancing the prediction of student performance based on the machine learning XGBoost algorithm,"A Asselman, M Khaldi, S Aammou - Interactive Learning …, 2023 - Taylor & Francis",Cited by 184
418,"A comprehensive review on machine learning in healthcare industry: classification, restrictions, opportunities and challenges","Q An, S Rahman, J Zhou, JJ Kang - Sensors, 2023 - mdpi.com",Cited by 88
419,Machine learning and deep learning approach for medical image analysis: diagnosis to detection,"M Rana, M Bhushan - Multimedia Tools and Applications, 2023 - Springer",Cited by 135
420,"Internet of things (iot) security intelligence: a comprehensive overview, machine learning solutions and research directions","IH Sarker, AI Khan, YB Abushark, F Alsolami - Mobile Networks and …, 2023 - Springer",Cited by 276
421,Application of machine learning algorithms in municipal solid waste management: A mini review,"W Xia, Y Jiang, X Chen, R Zhao - Waste Management & …, 2022 - journals.sagepub.com",Cited by 139
422,Graph data augmentation for graph machine learning: A survey,"T Zhao, W Jin, Y Liu, Y Wang, G Liu… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 102
423,Review on interpretable machine learning in smart grid,"C Xu, Z Liao, C Li, X Zhou, R Xie - Energies, 2022 - mdpi.com",Cited by 49
424,Machine learning hidden symmetries,"Z Liu, M Tegmark - Physical Review Letters, 2022 - APS",Cited by 58
425,Applications of machine learning to BIM: A systematic literature review,"A Zabin, VA González, Y Zou, R Amor - Advanced Engineering Informatics, 2022 - Elsevier",Cited by 87
426,Unlocking edge intelligence through tiny machine learning (TinyML),"SAR Zaidi, AM Hayajneh, M Hafeez, QZ Ahmed - IEEE Access, 2022 - ieeexplore.ieee.org",Cited by 52
427,Improved machine learning algorithm for predicting ground state properties,"L Lewis, HY Huang, VT Tran, S Lehner, R Kueng… - nature …, 2024 - nature.com",Cited by 32
428,A review and comparative study of cancer detection using machine learning: SBERT and SimCSE application,"M Mokoatle, V Marivate, D Mapiye, R Bornman… - BMC …, 2023 - Springer",Cited by 25
429,Combining machine learning and semantic web: A systematic mapping study,"A Breit, L Waltersdorfer, FJ Ekaputra, M Sabou… - ACM Computing …, 2023 - dl.acm.org",Cited by 53
430,A machine learning model for skin disease classification using convolution neural network,"VR Allugunti - … Journal of Computing, Programming and Database …, 2022 - researchgate.net",Cited by 221
431,Machine learning research trends in Africa: a 30 years overview with bibliometric analysis review,"AE Ezugwu, ON Oyelade, AM Ikotun… - … Methods in Engineering, 2023 - Springer",Cited by 20
432,Machine learning-based marker for coronary artery disease: derivation and validation in two longitudinal cohorts,"IS Forrest, BO Petrazzini, Á Duffy, JK Park… - The Lancet, 2023 - thelancet.com",Cited by 80
433,Edge computing with artificial intelligence: A machine learning perspective,"H Hua, Y Li, T Wang, N Dong, W Li, J Cao - ACM Computing Surveys, 2023 - dl.acm.org",Cited by 213
434,Forecasting of solar radiation using different machine learning approaches,"V Demir, H Citakoglu - Neural Computing and Applications, 2023 - Springer",Cited by 74
435,Prediction of loan behaviour with machine learning models for secure banking,"M Anand, A Velu, P Whig - Journal of Computer Science and …, 2022 - icsejournal.com",Cited by 102
436,Integrating scientific knowledge with machine learning for engineering and environmental systems,"J Willard, X Jia, S Xu, M Steinbach, V Kumar - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 398
437,Membership inference attacks on machine learning: A survey,"H Hu, Z Salcic, L Sun, G Dobbie, PS Yu… - ACM Computing Surveys …, 2022 - dl.acm.org",Cited by 440
438,Effective heart disease prediction using machine learning techniques,"CM Bhatt, P Patel, T Ghetia, PL Mazzeo - Algorithms, 2023 - mdpi.com",Cited by 177
439,Machine learning-based automatic control of tunneling posture of shield machine,"H Huang, J Chang, D Zhang, J Zhang, H Wu… - Journal of Rock …, 2022 - Elsevier",Cited by 55
440,Review of machine learning techniques for EEG based brain computer interface,"S Aggarwal, N Chugh - Archives of Computational Methods in …, 2022 - Springer",Cited by 180
441,Flood forecasting with machine learning models in an operational framework,"S Nevo, E Morin, A Gerzi Rosenthal… - Hydrology and Earth …, 2022 - hess.copernicus.org",Cited by 110
