,Title,Authors,Year,Venue,Publisher,Citation_Count,Avg_Citations_Per_Year
196,"Significance of machine learning in healthcare: Features, pillars and applications","M Javaid, A Haleem, RP Singh, R Suman…",2022,International Journal of …,Elsevier,394,131.33
197,Fusion of finite element and machine learning methods to predict rock shear strength parameters,"D Zhu, B Yu, D Wang, Y Zhang",2024,Journal of Geophysics and …,academic.oup.com,49,49.0
198,Integrating AI and Machine Learning in Quality Assurance for Automation Engineering,"PR Kothamali, VK Karne…",2024,International Journal for …,jrps.shodhsagar.com,36,36.0
199,A systematic review of the literature on machine learning application of determining the attributes influencing academic performance,"I Issah, O Appiah, P Appiahene, F Inusah",2023,Decision analytics journal,Elsevier,56,28.0
200,Chatgpt or human? detect and explain. explaining decisions of machine learning model for detecting short chatgpt-generated text,"S Mitrović, D Andreoletti, O Ayoub",2023,arXiv preprint arXiv:2301.13852,arxiv.org,150,75.0
201,Understanding APT detection using Machine learning algorithms: Is superior accuracy a thing?,"S Arefin, M Chowdhury, R Parvez…",2024,2024 IEEE …,ieeexplore.ieee.org,31,31.0
202,Heart diseases prediction using machine learning,"AL Yadav, K Soni, S Khare",2023,2023 14th International …,ieeexplore.ieee.org,227,113.5
203,Machine learning can guide food security efforts when primary data are not available,"G Martini, A Bracci, L Riches, S Jaiswal, M Corea…",2022,Nature Food,nature.com,62,20.67
204,Fusion-based supply chain collaboration using machine learning techniques,"TM Ghazal, HM Alzoubi",2022,… & Soft Computing,research.skylineuniversity.ac.ae,256,85.33
205,Mitigating bias in radiology machine learning: 2. Model development,"K Zhang, B Khosravi, S Vahdati, S Faghani…",2022,Radiology: Artificial …,pubs.rsna.org,61,20.33
206,Artificial intelligence and machine learning in cancer imaging,"DM Koh, N Papanikolaou, U Bick, R Illing…",2022,Communications …,nature.com,152,50.67
207,Torchdrug: A powerful and flexible machine learning platform for drug discovery,"Z Zhu, C Shi, Z Zhang, S Liu, M Xu, X Yuan…",2022,arXiv preprint arXiv …,arxiv.org,73,24.33
208,Machine learning and landslide studies: recent advances and applications,"FS Tehrani, M Calvello, Z Liu, L Zhang, S Lacasse",2022,Natural Hazards,Springer,125,41.67
209,A survey of privacy attacks in machine learning,"M Rigaki, S Garcia",2023,ACM Computing Surveys,dl.acm.org,266,133.0
210,"Mental health prediction using machine learning: taxonomy, applications, and challenges","J Chung, J Teo",2022,Applied Computational Intelligence and Soft …,Wiley Online Library,111,37.0
211,Applications of Machine Learning in Viral Disease Diagnosis,"JK Chaudhary, H Sharma, SN Tadiboina…",2023,… on Computing for …,ieeexplore.ieee.org,66,33.0
212,Machine learning and deep learning based predictive quality in manufacturing: a systematic review,"H Tercan, T Meisen",2022,Journal of Intelligent Manufacturing,Springer,163,54.33
213,Towards applicability of machine learning techniques in agriculture and energy sector,"K Arumugam, Y Swathi, DT Sanchez, M Mustafa…",2022,Materials Today …,Elsevier,42,14.0
214,Recent advances and application of machine learning in food flavor prediction and regulation,"H Ji, D Pu, W Yan, Q Zhang, M Zuo, Y Zhang",2023,Trends in Food Science & …,Elsevier,49,24.5
215,Applied machine learning as a driver for polymeric biomaterials design,"SM McDonald, EK Augustine, Q Lanners…",2023,Nature …,nature.com,33,16.5
216,A survey of machine learning approaches in animal behaviour,"N Kleanthous, AJ Hussain, W Khan, J Sneddon…",2022,Neurocomputing,Elsevier,40,13.33
217,"Patterns, predictions, and actions: Foundations of machine learning","M Hardt, B Recht",2022,,books.google.com,39,13.0
218,A dependable hybrid machine learning model for network intrusion detection,"MA Talukder, KF Hasan, MM Islam, MA Uddin…",2023,Journal of Information …,Elsevier,135,67.5
219,A comprehensive survey on poisoning attacks and countermeasures in machine learning,"Z Tian, L Cui, J Liang, S Yu",2022,ACM Computing Surveys,dl.acm.org,161,53.67
220,A review of feature selection methods for machine learning-based disease risk prediction,"N Pudjihartono, T Fadason, AW Kempa-Liehr…",2022,Frontiers in …,frontiersin.org,348,116.0
221,A machine learning model that outperforms conventional global subseasonal forecast models,"L Chen, X Zhong, H Li, J Wu, B Lu, D Chen…",2024,Nature …,nature.com,5,5.0
222,"A comparative analysis of K-nearest neighbor, genetic, support vector machine, decision tree, and long short term memory algorithms in machine learning","M Bansal, A Goyal, A Choudhary",2022,Decision Analytics Journal,Elsevier,353,117.67
223,Systematic literature review: Quantum machine learning and its applications,"D Peral-García, J Cruz-Benito…",2024,Computer Science …,Elsevier,93,93.0
224,Machine learning in aerodynamic shape optimization,"J Li, X Du, JRRA Martins",2022,Progress in Aerospace Sciences,Elsevier,173,57.67
225,Interpretable machine learning for knowledge generation in heterogeneous catalysis,"JA Esterhuizen, BR Goldsmith, S Linic",2022,Nature catalysis,nature.com,184,61.33
226,Comparative analysis for slope stability by using machine learning methods,"YA Nanehkaran, Z Licai, J Chengyong, J Chen…",2023,Applied Sciences,mdpi.com,48,24.0
227,A digital game based learning approach for effective curriculum transaction for teaching-learning of artificial intelligence and machine learning,A Alam,2022,… Conference on Sustainable Computing and Data …,ieeexplore.ieee.org,450,150.0
228,The role of machine learning techniques in internet of things-based cloud applications,"S Mishra, AK Tyagi",2022,Artificial intelligence-based internet of things systems,Springer,228,76.0
229,Extensive review on the role of machine learning for multifactorial genetic disorders prediction,"DD Solomon, Sonia, K Kumar, K Kanwar, S Iyer…",2024,… Methods in Engineering,Springer,19,19.0
230,Interpretable and explainable machine learning for materials science and chemistry,"F Oviedo, JL Ferres, T Buonassisi…",2022,Accounts of Materials …,ACS Publications,122,40.67
231,A Review on Sustainable Energy Sources Using Machine Learning and Deep Learning Models,"A Bhansali, N Narasimhulu, R Pérez de Prado…",2023,Energies,mdpi.com,30,15.0
232,"Machine learning for high-entropy alloys: Progress, challenges and opportunities","X Liu, J Zhang, Z Pei",2023,Progress in Materials Science,Elsevier,132,66.0
233,How machine learning is solving the binary function similarity problem,"A Marcelli, M Graziano, X Ugarte-Pedrero…",2022,31st USENIX Security …,usenix.org,88,29.33
234,Democratizing artificial intelligence: How no-code AI can leverage machine learning operations,"L Sundberg, J Holmström",2023,Business Horizons,Elsevier,60,30.0
235,Machine learning for spatial analyses in urban areas: a scoping review,"Y Casali, NY Aydin, T Comes",2022,Sustainable cities and society,Elsevier,78,26.0
236,Quantum machine learning: from physics to software engineering,"A Melnikov, M Kordzanganeh, A Alodjants…",2023,Advances in Physics …,Taylor & Francis,68,34.0
237,Application of machine learning in anaerobic digestion: Perspectives and challenges,"IA Cruz, W Chuenchart, F Long, KC Surendra…",2022,Bioresource …,Elsevier,151,50.33
238,Unsupervised machine learning in urban studies: A systematic review of applications,"J Wang, F Biljecki",2022,Cities,Elsevier,103,34.33
239,Application of machine learning to the monitoring and prediction of food safety: A review,"X Wang, Y Bouzembrak, AO Lansink…",2022,… Reviews in Food …,Wiley Online Library,91,30.33
240,Machine learning for multi-omics data integration in cancer,"Z Cai, RC Poulos, J Liu, Q Zhong",2022,Iscience,cell.com,116,38.67
241,Machine learning and artificial intelligence in pharmaceutical research and development: a review,"S Kolluri, J Lin, R Liu, Y Zhang, W Zhang",2022,The AAPS journal,Springer,160,53.33
242,Reviewing machine learning of corrosion prediction in a data-oriented perspective,"LB Coelho, D Zhang, Y Van Ingelgem…",2022,npj Materials …,nature.com,104,34.67
243,"Using machine learning to impact on long-term clinical care: principles, challenges, and practicalities","JJ Ashton, A Young, MJ Johnson, RM Beattie",2023,Pediatric Research,nature.com,30,15.0
244,A survey of machine learning in additive manufacturing technologies,J Jiang,2023,International Journal of Computer Integrated …,Taylor & Francis,39,19.5
245,Building energy consumption prediction for residential buildings using deep learning and other machine learning techniques,"R Olu-Ajayi, H Alaka, I Sulaimon, F Sunmola…",2022,Journal of Building …,Elsevier,323,107.67
246,Scientific machine learning through physics–informed neural networks: Where we are and what's next,"S Cuomo, VS Di Cola, F Giampaolo, G Rozza…",2022,Journal of Scientific …,Springer,1136,378.67
247,Machine learning advances for time series forecasting,"RP Masini, MC Medeiros…",2023,Journal of economic …,Wiley Online Library,305,152.5
248,A review of machine learning in processing remote sensing data for mineral exploration,"H Shirmard, E Farahbakhsh, RD Müller…",2022,Remote Sensing of …,Elsevier,208,69.33
249,"Application of machine learning in thermal comfort studies: A review of methods, performance and challenges","ZQ Fard, ZS Zomorodian, SS Korsavi",2022,Energy and Buildings,Elsevier,126,42.0
250,In-processing modeling techniques for machine learning fairness: A survey,"M Wan, D Zha, N Liu, N Zou",2023,ACM Transactions on Knowledge …,dl.acm.org,110,55.0
251,"A review on machine learning, artificial intelligence, and smart technology in water treatment and monitoring","M Lowe, R Qin, X Mao",2022,Water,mdpi.com,159,53.0
252,Logic-based explainability in machine learning,J Marques-Silva,2023,… Knowledge: 18th International Summer School 2022 …,Springer,47,23.5
253,Multi-omic machine learning predictor of breast cancer therapy response,"SJ Sammut, M Crispin-Ortuzar, SF Chin, E Provenzano…",2022,Nature,nature.com,319,106.33
254,Data poisoning attacks against machine learning algorithms,"FA Yerlikaya, Ş Bahtiyar",2022,Expert Systems with Applications,Elsevier,55,18.33
255,Diabetes mellitus prediction and diagnosis from a data preprocessing and machine learning perspective,"CC Olisah, L Smith, M Smith",2022,Computer Methods and Programs in …,Elsevier,128,42.67
256,Shifting machine learning for healthcare from development to deployment and from models to data,"A Zhang, L Xing, J Zou, JC Wu",2022,Nature Biomedical Engineering,nature.com,202,67.33
257,New opportunity: machine learning for polymer materials design and discovery,"P Xu, H Chen, M Li, W Lu",2022,Advanced Theory and Simulations,Wiley Online Library,67,22.33
258,Operating machine learning across natural language processing techniques for improvement of fabricated news model,"K Sharifani, M Amini, Y Akbari…",2022,… Journal of Science …,papers.ssrn.com,145,48.33
259,"Machine learning and deep learning based computational techniques in automatic agricultural diseases detection: Methodologies, applications, and challenges","JA Wani, S Sharma, M Muzamil, S Ahmed…",2022,… methods in Engineering,Springer,157,52.33
260,Machine learning–enabled high-entropy alloy discovery,"Z Rao, PY Tung, R Xie, Y Wei, H Zhang, A Ferrari…",2022,Science,science.org,280,93.33
261,"Machine Learning, Deep Learning and Statistical Analysis for forecasting building energy consumption—A systematic review","M Khalil, AS McGough, Z Pourmirza…",2022,… Applications of Artificial …,Elsevier,122,40.67
262,Machine learning and the politics of synthetic data,BN Jacobsen,2023,Big Data & Society,journals.sagepub.com,27,13.5
263,Optimizing data collection for machine learning,"R Mahmood, J Lucas, JM Alvarez…",2022,Advances in Neural …,proceedings.neurips.cc,22,7.33
264,Byzantine machine learning made easy by resilient averaging of momentums,"S Farhadkhani, R Guerraoui, N Gupta…",2022,… Machine Learning,proceedings.mlr.press,62,20.67
265,Genetic algorithm and machine learning,"RR Chandan, S Soni, A Raj, V Veeraiah…",2023,"… , Policies, and Reform",igi-global.com,28,14.0
266,Perspective: Machine learning in experimental solid mechanics,"NR Brodnik, C Muir, N Tulshibagwale, J Rossin…",2023,Journal of the …,Elsevier,36,18.0
267,Machine learning operations: A survey on MLOps tool support,"N Hewage, D Meedeniya",2022,arXiv preprint arXiv:2202.10169,arxiv.org,41,13.67
268,Catalyst design with machine learning,H Xin,2022,Nature Energy,nature.com,21,7.0
269,Secure and Private AI: Implementing Advanced Data Protection Techniques in Machine Learning Models,AKY Yanamala,2023,International Journal of Machine Learning Research …,ijmlrcai.com,73,36.5
270,Human–machine teaming is key to AI adoption: clinicians' experiences with a deployed machine learning system,"KE Henry, R Kornfield, A Sridharan, RC Linton…",2022,NPJ digital …,nature.com,102,34.0
271,Physics-informed machine learning for reliability and systems safety applications: State of the art and challenges,"Y Xu, S Kohtz, J Boakye, P Gardoni, P Wang",2023,Reliability Engineering & …,Elsevier,155,77.5
272,Exploring QCD matter in extreme conditions with Machine Learning,"K Zhou, L Wang, LG Pang, S Shi",2023,Progress in Particle and Nuclear Physics,Elsevier,41,20.5
273,Machine learning software for optimizing SME social media marketing campaigns,"WE Kedi, C Ejimuda, C Idemudia…",2024,Computer Science & IT …,researchgate.net,28,28.0
274,Learning Curves for Decision Making in Supervised Machine Learning--A Survey,"F Mohr, JN van Rijn",2022,arXiv preprint arXiv:2201.12150,arxiv.org,63,21.0
275,Machine learning and deep learning in energy systems: A review,"MM Forootan, I Larki, R Zahedi, A Ahmadi",2022,Sustainability,mdpi.com,142,47.33
276,Interpretable machine learning for building energy management: A state-of-the-art review,"Z Chen, F Xiao, F Guo, J Yan",2023,Advances in Applied Energy,Elsevier,136,68.0
277,The vendi score: A diversity evaluation metric for machine learning,"D Dan Friedman, AB Dieng",2023,Transactions on machine learning …,par.nsf.gov,52,26.0
278,Adaptive optics based on machine learning: a review,"Y Guo, L Zhong, L Min, J Wang, Y Wu…",2022,Opto-Electronic …,researching.cn,104,34.67
279,MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz…",2023,BMC Medical Informatics …,Springer,179,89.5
280,Application of machine learning optimization in cloud computing resource scheduling and management,"Y Zhang, B Liu, Y Gong, J Huang, J Xu…",2024,Proceedings of the 5th …,dl.acm.org,56,56.0
281,A comprehensive survey on feature selection in the various fields of machine learning,"P Dhal, C Azad",2022,Applied Intelligence,Springer,288,96.0
282,"A mini-review of machine learning in big data analytics: Applications, challenges, and prospects","IK Nti, JA Quarcoo, J Aning…",2022,Big Data Mining and …,ieeexplore.ieee.org,105,35.0
283,Quantum machine learning beyond kernel methods,"S Jerbi, LJ Fiderer, H Poulsen Nautrup…",2023,Nature …,nature.com,149,74.5
284,"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior","E Yaghoubi, E Yaghoubi, A Khamees, D Razmi…",2024,… Applications of Artificial …,Elsevier,8,8.0
285,Using Machine Learning and Data Mining to Evaluate Modern Financial Management Techniques,"A Al Ayub Ahmed, S Rajesh, S Lohana, S Ray…",2022,Proceedings of Second …,Springer,72,24.0
286,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri…",2023,Materials Today …,Elsevier,23,11.5
287,Crop yield prediction using machine learning techniques,"S Iniyan, VA Varma, CT Naidu",2023,Advances in Engineering Software,Elsevier,63,31.5
288,Forecasting renewable energy generation with machine learning and deep learning: Current advances and future prospects,"NE Benti, MD Chaka, AG Semie",2023,Sustainability,mdpi.com,66,33.0
289,Big Data: the Fuel for Machine Learning and AI Advancement,"F Tahir, M Khan",2023,,easychair.org,130,65.0
290,Sustainable energies and machine learning: An organized review of recent applications and challenges,"P Ifaei, M Nazari-Heris, AST Charmchi, S Asadi…",2023,Energy,Elsevier,44,22.0
291,Mitigating bias in radiology machine learning: 1. Data handling,"P Rouzrokh, B Khosravi, S Faghani…",2022,Radiology: Artificial …,pubs.rsna.org,83,27.67
292,The role of natural resources in the management of environmental sustainability: Machine learning approach,"A Rao, A Talan, S Abbas, D Dev, F Taghizadeh-Hesary",2023,Resources Policy,Elsevier,39,19.5
293,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,"FK Alarfaj, I Malik, HU Khan, N Almusallam…",2022,IEEE …,ieeexplore.ieee.org,178,59.33
294,Random matrix methods for machine learning,"R Couillet, Z Liao",2022,,books.google.com,70,23.33
295,"Forecasting of crop yield using remote sensing data, agrarian factors and machine learning approaches","JP Bharadiya, NT Tzenios…",2023,Journal of Engineering …,classical.goforpromo.com,197,98.5
296,Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,"M Karimi-Mamaghan, M Mohammadi, P Meyer…",2022,European Journal of …,Elsevier,307,102.33
297,Metalearning: applications to automated machine learning and data mining,"P Brazdil, JN Van Rijn, C Soares, J Vanschoren",2022,,library.oapen.org,65,21.67
298,Machine learning for chemical reactivity: the importance of failed experiments,"F Strieth‐Kalthoff, F Sandfort…",2022,Angewandte Chemie …,Wiley Online Library,106,35.33
299,Perspectives in machine learning for wildlife conservation,"D Tuia, B Kellenberger, S Beery, BR Costelloe…",2022,Nature …,nature.com,410,136.67
300,Sepsis biomarkers and diagnostic tools with a focus on machine learning,"M Komorowski, A Green, KC Tatham, C Seymour…",2022,…,thelancet.com,60,20.0
301,Machine learning and remote sensing techniques applied to estimate soil indicators–review,"FA Diaz-Gonzalez, J Vuelvas, CA Correa, VE Vallejo…",2022,Ecological …,Elsevier,107,35.67
302,Network-based machine learning approach to predict immunotherapy response in cancer patients,"JH Kong, D Ha, J Lee, I Kim, M Park, SH Im…",2022,Nature …,nature.com,102,34.0
303,The effects of data quality on machine learning performance,"L Budach, M Feuerpfeil, N Ihde, A Nathansen…",2022,arXiv preprint arXiv …,arxiv.org,115,38.33
304,SEM-machine learning-based model for perusing the adoption of metaverse in higher education in UAE,"A Aburayya, S Salloum, K Alderbashi…",2023,… Journal of Data and …,growingscience.com,93,46.5
305,Machine learning in nuclear physics at low and intermediate energies,"W He, Q Li, Y Ma, Z Niu, J Pei, Y Zhang",2023,Science China Physics …,Springer,60,30.0
306,Machine learning as a tool for hypothesis generation,"J Ludwig, S Mullainathan",2024,The Quarterly Journal of Economics,academic.oup.com,46,46.0
307,"Review on machine learning-based bioprocess optimization, monitoring, and control systems","PP Mondal, A Galodha, VK Verma, V Singh…",2023,Bioresource …,Elsevier,60,30.0
308,Recent advancement in cancer diagnosis using machine learning and deep learning techniques: A comprehensive review,"D Painuli, S Bhardwaj",2022,Computers in Biology and Medicine,Elsevier,94,31.33
309,Machine learning–assisted design of material properties,"S Kadulkar, ZM Sherman, V Ganesan…",2022,Annual Review of …,annualreviews.org,32,10.67
310,"Machine learning applications in river research: Trends, opportunities and challenges","L Ho, P Goethals",2022,Methods in Ecology and Evolution,Wiley Online Library,22,7.33
311,Application of machine learning in determining the mechanical properties of materials,"N Jain, A Verma, S Ogata, MR Sanjay…",2022,Machine learning applied …,Springer,24,8.0
312,"Why black box machine learning should be avoided for high-stakes decisions, in brief",C Rudin,2022,Nature Reviews Methods Primers,nature.com,49,16.33
313,Toward an integrated machine learning model of a proteomics experiment,"BA Neely, V Dorfer, L Martens, I Bludau…",2023,Journal of proteome …,ACS Publications,29,14.5
314,NetKet 3: Machine learning toolbox for many-body quantum systems,"F Vicentini, D Hofmann, A Szabó, D Wu…",2022,SciPost Physics …,scipost.org,101,33.67
315,Multimodal machine learning in precision health: A scoping review,"A Kline, H Wang, Y Li, S Dennis, M Hutch, Z Xu…",2022,npj Digital …,nature.com,157,52.33
316,Quantum machine learning: A tutorial,"JD Martín-Guerrero, L Lamata",2022,Neurocomputing,Elsevier,65,21.67
317,From distributed machine learning to federated learning: A survey,"J Liu, J Huang, Y Zhou, X Li, S Ji, H Xiong…",2022,… and Information Systems,Springer,235,78.33
318,Human–robot collaboration and machine learning: A systematic review of recent research,"F Semeraro, A Griffiths, A Cangelosi",2023,Robotics and Computer-Integrated …,Elsevier,158,79.0
319,Customer churn prediction system: a machine learning approach,"P Lalwani, MK Mishra, JS Chadha, P Sethi",2022,Computing,Springer,265,88.33
320,Machine learning for healthcare wearable devices: the big picture,"F Sabry, T Eltaras, W Labda, K Alzoubi…",2022,Journal of Healthcare …,Wiley Online Library,167,55.67
321,Using machine learning to predict complications in pregnancy: a systematic review,"A Bertini, R Salas, S Chabert, L Sobrevia…",2022,… in bioengineering and …,frontiersin.org,73,24.33
322,Quantum machine learning for chemistry and physics,"M Sajjan, J Li, R Selvarajan, SH Sureshbabu…",2022,Chemical Society …,pubs.rsc.org,91,30.33
323,Robust and data-efficient generalization of self-supervised machine learning for diagnostic imaging,"S Azizi, L Culp, J Freyberg, B Mustafa, S Baur…",2023,Nature Biomedical …,nature.com,114,57.0
324,Machine learning algorithms for efficient water quality prediction,"M Azrour, J Mabrouki, G Fattah, A Guezzaz…",2022,Modeling Earth Systems …,Springer,114,38.0
325,Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde…",2023,Materials Today …,Elsevier,134,67.0
326,Air pollution prediction with machine learning: a case study of Indian cities,"K Kumar, BP Pande",2023,International Journal of Environmental Science and …,Springer,147,73.5
327,Machine learning and application in terahertz technology: A review on achievements and future challenges,"Y Jiang, G Li, H Ge, F Wang, L Li, X Chen, M Lu…",2022,IEEE …,ieeexplore.ieee.org,44,14.67
328,A review of machine learning in geochemistry and cosmochemistry: Method improvements and applications,"Y He, Y Zhou, T Wen, S Zhang, F Huang, X Zou…",2022,Applied …,Elsevier,39,13.0
329,Application of machine learning in water resources management: A systematic literature review,"F Ghobadi, D Kang",2023,Water,mdpi.com,54,27.0
330,Machine learning on small size samples: A synthetic knowledge synthesis,"P Kokol, M Kokol, S Zagoranski",2022,Science Progress,journals.sagepub.com,146,48.67
331,Cellular traffic prediction with machine learning: A survey,W Jiang,2022,Expert Systems with Applications,Elsevier,96,32.0
332,Adaptive machine learning for protein engineering,"BL Hie, KK Yang",2022,Current opinion in structural biology,Elsevier,85,28.33
333,Part of speech tagging: a systematic review of deep learning and machine learning approaches,"A Chiche, B Yitagesu",2022,Journal of Big Data,Springer,187,62.33
334,Group-invariant quantum machine learning,"M Larocca, F Sauvage, FM Sbahi, G Verdon, PJ Coles…",2022,PRX Quantum,APS,135,45.0
335,Knowledge graphs as tools for explainable machine learning: A survey,"I Tiddi, S Schlobach",2022,Artificial Intelligence,Elsevier,217,72.33
336,Will we run out of data? an analysis of the limits of scaling datasets in machine learning,"P Villalobos, J Sevilla, L Heim, T Besiroglu…",2022,arXiv preprint arXiv …,arxiv.org,142,47.33
337,Plant leaf disease detection using computer vision and machine learning algorithms,"SS Harakannanavar, JM Rudagi…",2022,Global Transitions …,Elsevier,253,84.33
338,A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques,"R Krishnamoorthi, S Joshi…",2022,Journal of healthcare …,Wiley Online Library,204,68.0
339,"Forecasting stock market prices using machine learning and deep learning models: A systematic review, performance analysis and discussion of implications","G Sonkavde, DS Dharrao, AM Bongale…",2023,International Journal of …,mdpi.com,67,33.5
340,Machine learning-based heart disease diagnosis: A systematic literature review,"MM Ahsan, Z Siddique",2022,Artificial Intelligence in Medicine,Elsevier,254,84.67
341,Machine learning advances in microbiology: A review of methods and applications,"Y Jiang, J Luo, D Huang, Y Liu, D Li",2022,Frontiers in Microbiology,frontiersin.org,36,12.0
342,Toward a sociology of machine learning explainability: Human–machine interaction in deep neural network-based automated trading,"C Borch, B Hee Min",2022,Big Data & Society,journals.sagepub.com,43,14.33
343,Recent advances and applications of machine learning in experimental solid mechanics: A review,"H Jin, E Zhang, HD Espinosa",2023,Applied …,asmedigitalcollection.asme.org,52,26.0
344,Exposing the limitations of molecular machine learning with activity cliffs,"D Van Tilborg, A Alenicheva…",2022,Journal of chemical …,ACS Publications,122,40.67
345,A comparative study of different machine learning methods for reservoir landslide displacement prediction,"Y Wang, H Tang, J Huang, T Wen, J Ma, J Zhang",2022,Engineering Geology,Elsevier,115,38.33
346,Recent advances and outstanding challenges for machine learning interatomic potentials,"TW Ko, SP Ong",2023,Nature Computational Science,nature.com,30,15.0
347,Potential applications and performance of machine learning techniques and algorithms in clinical practice: a systematic review,"EM Nwanosike, BR Conway, HA Merchant…",2022,International journal of …,Elsevier,66,22.0
348,"CheckM2: a rapid, scalable and accurate tool for assessing microbial genome quality using machine learning","A Chklovski, DH Parks, BJ Woodcroft, GW Tyson",2023,Nature Methods,nature.com,264,132.0
349,Maximizing information from chemical engineering data sets: Applications to machine learning,"A Thebelt, J Wiebe, J Kronqvist, C Tsay…",2022,Chemical Engineering …,Elsevier,60,20.0
350,Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim",2023,Neurocomputing,Elsevier,58,29.0
351,Exploring machine learning: a scientometrics approach using bibliometrix and VOSviewer,"DO Oyewola, EG Dada",2022,SN Applied Sciences,Springer,105,35.0
352,Detecting suicidality on social media: Machine learning at rescue,"ST Rabani, AMUD Khanday, QR Khan…",2023,Egyptian Informatics …,Elsevier,18,9.0
353,Is quantum advantage the right goal for quantum machine learning?,"M Schuld, N Killoran",2022,Prx Quantum,APS,156,52.0
354,Truth serum: Poisoning machine learning models to reveal their secrets,"F Tramèr, R Shokri, A San Joaquin, H Le…",2022,Proceedings of the …,dl.acm.org,105,35.0
355,Operationalizing machine learning: An interview study,"S Shankar, R Garcia, JM Hellerstein…",2022,arXiv preprint arXiv …,arxiv.org,58,19.33
356,Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"M Amini, K Sharifani, A Rahmani",2023,International Journal of Applied …,papers.ssrn.com,124,62.0
357,Artificial Intelligence and Machine Learning: The Impact of Machine Learning on Predictive Analytics in Healthcare,H Rehan,2023,Innovative Computer Sciences Journal,researchgate.net,46,23.0
358,Machine learning integrated design for additive manufacturing,"J Jiang, Y Xiong, Z Zhang, DW Rosen",2022,Journal of Intelligent …,Springer,195,65.0
359,Bias mitigation for machine learning classifiers: A comprehensive survey,"M Hort, Z Chen, JM Zhang, M Harman…",2024,ACM Journal on …,dl.acm.org,107,107.0
360,Diabetes Risk Assessment Using Machine Learning: A Comparative Study of Classification Algorithms,CK Suryadevara,2023,IEJRD-International Multidisciplinary Journal,researchgate.net,33,16.5
361,Internet of Thing and Machine Learning Approach for Agricultural Application: A Review,"P Kolhe, K Kalbande…",2022,2022 10th International …,ieeexplore.ieee.org,39,13.0
362,Rainfall prediction: A comparative analysis of modern machine learning algorithms for time-series forecasting,"AY Barrera-Animas, LO Oyedele, M Bilal…",2022,Machine Learning with …,Elsevier,204,68.0
363,Empirical method for thyroid disease classification using a machine learning approach,"T Alyas, M Hamid, K Alissa, T Faiz…",2022,BioMed Research …,ncbi.nlm.nih.gov,73,24.33
364,Fetal health classification from cardiotocographic data using machine learning,"A Mehbodniya, AJP Lazar, J Webber…",2022,Expert …,Wiley Online Library,76,25.33
365,Applications of machine learning and deep learning on biological data,"F Masoodi, M Quasim, S Bukhari, S Dixit, S Alam",2023,,books.google.com,27,13.5
366,Machine learning in microseismic monitoring,"D Anikiev, C Birnie, U bin Waheed, T Alkhalifah…",2023,Earth-Science …,Elsevier,44,22.0
367,Quantum Machine Learning: Scope for real-world problems,"A Jadhav, A Rasool, M Gyanchandani",2023,Procedia Computer Science,Elsevier,34,17.0
368,Identifying disease and diagnosis in females using machine learning,"S Pramanik, SK Bandyopadhyay",2023,… Science and Machine Learning,igi-global.com,33,16.5
369,Machine learning in fundamental electrochemistry: Recent advances and future opportunities,"H Chen, E Kätelhön, RG Compton",2023,Current Opinion in Electrochemistry,Elsevier,29,14.5
370,The role of machine learning in transforming business intelligence,JP Bharadiya,2023,International Journal of Computing …,computersciencejournals.com,55,27.5
371,Statistical and machine learning methods for spatially resolved transcriptomics data analysis,"Z Zeng, Y Li, Y Li, Y Luo",2022,Genome biology,Springer,116,38.67
372,Machine learning for intelligent energy consumption in smart homes,A Alzoubi,2022,"International Journal of Computations, Information …",journals.gaftim.com,182,60.67
373,Signature methods in machine learning,"T Lyons, AD McLeod",2022,arXiv preprint arXiv:2206.14674,arxiv.org,38,12.67
374,ktrain: A low-code library for augmented machine learning,AS Maiya,2022,Journal of Machine Learning Research,jmlr.org,168,56.0
375,Incorporating sparse model machine learning in designing cultural heritage landscapes,"P Goodarzi, M Ansari, FP Rahimian…",2023,Automation in …,Elsevier,16,8.0
376,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions","M Aliramezani, CR Koch, M Shahbakhti",2022,Progress in Energy and …,Elsevier,179,59.67
377,High school students exploring machine learning and its societal implications: Opportunities and challenges,"MH Kaspersen, KEK Bilstrup, M Van Mechelen…",2022,International Journal of …,Elsevier,27,9.0
378,Recent advances in machine learning for fiber optic sensor applications,"A Venketeswaran, N Lalam…",2022,Advanced Intelligent …,Wiley Online Library,147,49.0
379,Estimating the thermal conductivity of soils using six machine learning algorithms,"KQ Li, Y Liu, Q Kang",2022,International Communications in Heat and Mass …,Elsevier,69,23.0
